date,Borough,week day,Month,TMAX,TMIN,holiday,Year,Total
1/28/2006,MANHATTAN,Saturday,January ,58,37,No Holiday,A2006,20
1/28/2006,STATEN ISLAND,Saturday,January ,58,37,No Holiday,A2006,10
1/29/2006,BRONX,Sunday,January ,53,44,No Holiday,A2006,43
1/29/2006,MANHATTAN,Sunday,January ,53,44,No Holiday,A2006,21
1/29/2006,STATEN ISLAND,Sunday,January ,53,44,No Holiday,A2006,6
1/30/2006,BRONX,Monday,January ,64,41,No Holiday,A2006,44
1/30/2006,MANHATTAN,Monday,January ,64,41,No Holiday,A2006,20
1/30/2006,STATEN ISLAND,Monday,January ,64,41,No Holiday,A2006,7
1/31/2006,BRONX,Tuesday,January ,42,39,No Holiday,A2006,32
1/31/2006,MANHATTAN,Tuesday,January ,42,39,No Holiday,A2006,23
1/31/2006,STATEN ISLAND,Tuesday,January ,42,39,No Holiday,A2006,7
2/1/2006,BRONX,Wednesday,February,41,36,No Holiday,A2006,41
2/1/2006,MANHATTAN,Wednesday,February,41,36,No Holiday,A2006,28
2/1/2006,STATEN ISLAND,Wednesday,February,41,36,No Holiday,A2006,9
2/2/2006,BRONX,Thursday,February,52,38,No Holiday,A2006,39
2/2/2006,MANHATTAN,Thursday,February,52,38,No Holiday,A2006,28
2/2/2006,STATEN ISLAND,Thursday,February,52,38,No Holiday,A2006,5
2/3/2006,BRONX,Friday,February,62,46,No Holiday,A2006,42
2/3/2006,MANHATTAN,Friday,February,62,46,No Holiday,A2006,33
2/3/2006,STATEN ISLAND,Friday,February,62,46,No Holiday,A2006,10
2/4/2006,BRONX,Saturday,February,53,43,No Holiday,A2006,41
2/4/2006,MANHATTAN,Saturday,February,53,43,No Holiday,A2006,30
2/4/2006,STATEN ISLAND,Saturday,February,53,43,No Holiday,A2006,10
2/5/2006,BRONX,Sunday,February,55,37,No Holiday,A2006,34
2/5/2006,MANHATTAN,Sunday,February,55,37,No Holiday,A2006,28
2/5/2006,STATEN ISLAND,Sunday,February,55,37,No Holiday,A2006,13
2/6/2006,BRONX,Monday,February,39,34,No Holiday,A2006,36
2/6/2006,MANHATTAN,Monday,February,39,34,No Holiday,A2006,25
2/6/2006,STATEN ISLAND,Monday,February,39,34,No Holiday,A2006,7
2/7/2006,BRONX,Tuesday,February,43,31,No Holiday,A2006,38
2/7/2006,MANHATTAN,Tuesday,February,43,31,No Holiday,A2006,20
2/7/2006,STATEN ISLAND,Tuesday,February,43,31,No Holiday,A2006,11
2/8/2006,BRONX,Wednesday,February,36,28,No Holiday,A2006,40
2/8/2006,MANHATTAN,Wednesday,February,36,28,No Holiday,A2006,20
2/8/2006,STATEN ISLAND,Wednesday,February,36,28,No Holiday,A2006,4
2/9/2006,BRONX,Thursday,February,36,23,No Holiday,A2006,33
2/9/2006,MANHATTAN,Thursday,February,36,23,No Holiday,A2006,31
2/9/2006,STATEN ISLAND,Thursday,February,36,23,No Holiday,A2006,4
2/10/2006,BRONX,Friday,February,37,26,No Holiday,A2006,33
2/10/2006,MANHATTAN,Friday,February,37,26,No Holiday,A2006,37
2/10/2006,STATEN ISLAND,Friday,February,37,26,No Holiday,A2006,5
2/11/2006,BRONX,Saturday,February,36,28,No Holiday,A2006,28
2/11/2006,MANHATTAN,Saturday,February,36,28,No Holiday,A2006,23
2/11/2006,STATEN ISLAND,Saturday,February,36,28,No Holiday,A2006,6
2/12/2006,BRONX,Sunday,February,28,23,No Holiday,A2006,42
2/12/2006,MANHATTAN,Sunday,February,28,23,No Holiday,A2006,19
2/12/2006,STATEN ISLAND,Sunday,February,28,23,No Holiday,A2006,10
2/13/2006,BRONX,Monday,February,36,19,No Holiday,A2006,32
2/13/2006,MANHATTAN,Monday,February,36,19,No Holiday,A2006,17
2/13/2006,STATEN ISLAND,Monday,February,36,19,No Holiday,A2006,3
2/14/2006,BRONX,Tuesday,February,41,28,No Holiday,A2006,46
2/14/2006,MANHATTAN,Tuesday,February,41,28,No Holiday,A2006,30
2/14/2006,STATEN ISLAND,Tuesday,February,41,28,No Holiday,A2006,10
2/15/2006,BRONX,Wednesday,February,56,36,No Holiday,A2006,35
2/15/2006,MANHATTAN,Wednesday,February,56,36,No Holiday,A2006,32
2/15/2006,STATEN ISLAND,Wednesday,February,56,36,No Holiday,A2006,2
2/16/2006,BRONX,Thursday,February,59,40,No Holiday,A2006,28
2/16/2006,MANHATTAN,Thursday,February,59,40,No Holiday,A2006,33
2/16/2006,STATEN ISLAND,Thursday,February,59,40,No Holiday,A2006,10
2/17/2006,BRONX,Friday,February,58,32,No Holiday,A2006,44
2/17/2006,MANHATTAN,Friday,February,58,32,No Holiday,A2006,42
2/17/2006,STATEN ISLAND,Friday,February,58,32,No Holiday,A2006,10
2/18/2006,BRONX,Saturday,February,35,15,No Holiday,A2006,30
2/18/2006,MANHATTAN,Saturday,February,35,15,No Holiday,A2006,21
2/18/2006,STATEN ISLAND,Saturday,February,35,15,No Holiday,A2006,5
2/19/2006,BRONX,Sunday,February,30,15,No Holiday,A2006,40
2/19/2006,MANHATTAN,Sunday,February,30,15,No Holiday,A2006,27
2/19/2006,STATEN ISLAND,Sunday,February,30,15,No Holiday,A2006,10
2/20/2006,BRONX,Monday,February,36,22,holiday,A2006,36
2/20/2006,MANHATTAN,Monday,February,36,22,holiday,A2006,32
2/20/2006,STATEN ISLAND,Monday,February,36,22,holiday,A2006,5
2/21/2006,BRONX,Tuesday,February,41,31,No Holiday,A2006,33
2/21/2006,MANHATTAN,Tuesday,February,41,31,No Holiday,A2006,30
