date,week day,Month,TMAX,TMIN,holiday
1/1/2006,Sunday,January ,42,32,holiday
1/2/2006,Monday,January ,48,39,No Holiday
1/3/2006,Tuesday,January ,40,33,No Holiday
1/4/2006,Wednesday,January ,38,29,No Holiday
1/5/2006,Thursday,January ,50,37,No Holiday
1/6/2006,Friday,January ,43,30,No Holiday
1/7/2006,Saturday,January ,35,25,No Holiday
1/8/2006,Sunday,January ,46,34,No Holiday
1/9/2006,Monday,January ,60,43,No Holiday
1/10/2006,Tuesday,January ,49,41,No Holiday
1/11/2006,Wednesday,January ,52,42,No Holiday
1/12/2006,Thursday,January ,57,45,No Holiday
1/13/2006,Friday,January ,54,43,No Holiday
1/14/2006,Saturday,January ,57,31,No Holiday
1/15/2006,Sunday,January ,32,16,No Holiday
1/16/2006,Monday,January ,32,16,holiday
1/17/2006,Tuesday,January ,44,26,No Holiday
1/18/2006,Wednesday,January ,58,36,No Holiday
1/19/2006,Thursday,January ,47,34,No Holiday
1/20/2006,Friday,January ,61,42,No Holiday
1/21/2006,Saturday,January ,63,38,No Holiday
1/22/2006,Sunday,January ,43,33,No Holiday
1/23/2006,Monday,January ,40,35,No Holiday
1/24/2006,Tuesday,January ,46,35,No Holiday
1/25/2006,Wednesday,January ,42,34,No Holiday
1/26/2006,Thursday,January ,35,26,No Holiday
1/27/2006,Friday,January ,43,24,No Holiday
1/28/2006,Saturday,January ,58,37,No Holiday
1/29/2006,Sunday,January ,53,44,No Holiday
1/30/2006,Monday,January ,64,41,No Holiday
1/31/2006,Tuesday,January ,42,39,No Holiday
2/1/2006,Wednesday,February,41,36,No Holiday
2/2/2006,Thursday,February,52,38,No Holiday
2/3/2006,Friday,February,62,46,No Holiday
2/4/2006,Saturday,February,53,43,No Holiday
2/5/2006,Sunday,February,55,37,No Holiday
2/6/2006,Monday,February,39,34,No Holiday
2/7/2006,Tuesday,February,43,31,No Holiday
2/8/2006,Wednesday,February,36,28,No Holiday
2/9/2006,Thursday,February,36,23,No Holiday
2/10/2006,Friday,February,37,26,No Holiday
2/11/2006,Saturday,February,36,28,No Holiday
2/12/2006,Sunday,February,28,23,No Holiday
2/13/2006,Monday,February,36,19,No Holiday
2/14/2006,Tuesday,February,41,28,No Holiday
2/15/2006,Wednesday,February,56,36,No Holiday
2/16/2006,Thursday,February,59,40,No Holiday
2/17/2006,Friday,February,58,32,No Holiday
2/18/2006,Saturday,February,35,15,No Holiday
2/19/2006,Sunday,February,30,15,No Holiday
2/20/2006,Monday,February,36,22,holiday
2/21/2006,Tuesday,February,41,31,No Holiday
2/22/2006,Wednesday,February,45,32,No Holiday
2/23/2006,Thursday,February,48,38,No Holiday
2/24/2006,Friday,February,42,28,No Holiday
2/25/2006,Saturday,February,50,27,No Holiday
2/26/2006,Sunday,February,29,18,No Holiday
2/27/2006,Monday,February,30,18,No Holiday
2/28/2006,Tuesday,February,33,22,No Holiday
3/1/2006,Wednesday,March,41,27,No Holiday
3/2/2006,Thursday,March,35,29,No Holiday
3/3/2006,Friday,March,33,22,No Holiday
3/4/2006,Saturday,March,39,24,No Holiday
3/5/2006,Sunday,March,45,31,No Holiday
3/6/2006,Monday,March,43,31,No Holiday
3/7/2006,Tuesday,March,44,30,No Holiday
3/8/2006,Wednesday,March,49,29,No Holiday
3/9/2006,Thursday,March,51,41,No Holiday
3/10/2006,Friday,March,74,47,No Holiday
3/11/2006,Saturday,March,63,47,No Holiday
3/12/2006,Sunday,March,55,49,No Holiday
3/13/2006,Monday,March,62,50,No Holiday
3/14/2006,Tuesday,March,62,39,No Holiday
3/15/2006,Wednesday,March,45,37,No Holiday
3/16/2006,Thursday,March,48,35,No Holiday
3/17/2006,Friday,March,46,31,No Holiday
3/18/2006,Saturday,March,42,29,No Holiday
3/19/2006,Sunday,March,42,30,No Holiday
3/20/2006,Monday,March,41,27,No Holiday
3/21/2006,Tuesday,March,44,24,No Holiday
3/22/2006,Wednesday,March,46,31,No Holiday
3/23/2006,Thursday,March,54,34,No Holiday
3/24/2006,Friday,March,52,39,No Holiday
3/25/2006,Saturday,March,47,38,No Holiday
3/26/2006,Sunday,March,51,37,No Holiday
3/27/2006,Monday,March,58,38,No Holiday
3/28/2006,Tuesday,March,56,42,No Holiday
3/29/2006,Wednesday,March,63,40,No Holiday
3/30/2006,Thursday,March,67,45,No Holiday
3/31/2006,Friday,March,70,50,No Holiday
4/1/2006,Saturday,April,75,53,No Holiday
4/2/2006,Sunday,April,68,47,No Holiday
4/3/2006,Monday,April,58,47,No Holiday
4/4/2006,Tuesday,April,55,43,No Holiday
4/5/2006,Wednesday,April,47,33,No Holiday
4/6/2006,Thursday,April,53,39,No Holiday
4/7/2006,Friday,April,66,45,No Holiday
4/8/2006,Saturday,April,63,37,No Holiday
4/9/2006,Sunday,April,58,37,No Holiday
4/10/2006,Monday,April,62,41,No Holiday
4/11/2006,Tuesday,April,68,45,No Holiday
4/12/2006,Wednesday,April,64,50,No Holiday
4/13/2006,Thursday,April,78,55,No Holiday
4/14/2006,Friday,April,67,54,No Holiday
4/15/2006,Saturday,April,80,52,No Holiday
4/16/2006,Sunday,April,67,51,No Holiday
4/17/2006,Monday,April,63,47,No Holiday
4/18/2006,Tuesday,April,72,47,No Holiday
4/19/2006,Wednesday,April,75,51,No Holiday
4/20/2006,Thursday,April,83,55,No Holiday
4/21/2006,Friday,April,62,47,No Holiday
4/22/2006,Saturday,April,47,42,No Holiday
4/23/2006,Sunday,April,62,44,No Holiday
4/24/2006,Monday,April,62,47,No Holiday
4/25/2006,Tuesday,April,71,48,No Holiday
4/26/2006,Wednesday,April,60,41,No Holiday
4/27/2006,Thursday,April,74,48,No Holiday
4/28/2006,Friday,April,64,47,No Holiday
4/29/2006,Saturday,April,64,45,No Holiday
4/30/2006,Sunday,April,70,44,No Holiday
5/1/2006,Monday,May,71,51,No Holiday
5/2/2006,Tuesday,May,70,49,No Holiday
5/3/2006,Wednesday,May,71,52,No Holiday
5/4/2006,Thursday,May,82,53,No Holiday
5/5/2006,Friday,May,80,64,No Holiday
5/6/2006,Saturday,May,77,50,No Holiday
5/7/2006,Sunday,May,67,46,No Holiday
5/8/2006,Monday,May,63,53,No Holiday
5/9/2006,Tuesday,May,62,53,No Holiday
5/10/2006,Wednesday,May,69,53,No Holiday
5/11/2006,Thursday,May,62,55,No Holiday
5/12/2006,Friday,May,72,58,No Holiday
5/13/2006,Saturday,May,71,53,No Holiday
5/14/2006,Sunday,May,61,51,No Holiday
5/15/2006,Monday,May,62,51,No Holiday
5/16/2006,Tuesday,May,63,52,No Holiday
5/17/2006,Wednesday,May,71,54,No Holiday
5/18/2006,Thursday,May,73,57,No Holiday
5/19/2006,Friday,May,61,50,No Holiday
5/20/2006,Saturday,May,68,50,No Holiday
5/21/2006,Sunday,May,70,50,No Holiday
5/22/2006,Monday,May,64,48,No Holiday
5/23/2006,Tuesday,May,68,45,No Holiday
5/24/2006,Wednesday,May,73,52,No Holiday
5/25/2006,Thursday,May,76,57,No Holiday
5/26/2006,Friday,May,74,59,No Holiday
5/27/2006,Saturday,May,83,64,No Holiday
5/28/2006,Sunday,May,83,66,No Holiday
5/29/2006,Monday,May,88,66,holiday
5/30/2006,Tuesday,May,88,67,No Holiday
5/31/2006,Wednesday,May,75,64,No Holiday
6/1/2006,Thursday,June,86,64,No Holiday
6/2/2006,Friday,June,82,66,No Holiday
6/3/2006,Saturday,June,66,58,No Holiday
6/4/2006,Sunday,June,68,57,No Holiday
6/5/2006,Monday,June,71,58,No Holiday
6/6/2006,Tuesday,June,72,59,No Holiday
6/7/2006,Wednesday,June,65,57,No Holiday
6/8/2006,Thursday,June,66,57,No Holiday
6/9/2006,Friday,June,75,59,No Holiday
6/10/2006,Saturday,June,67,56,No Holiday
6/11/2006,Sunday,June,69,52,No Holiday
6/12/2006,Monday,June,73,56,No Holiday
6/13/2006,Tuesday,June,81,62,No Holiday
6/14/2006,Wednesday,June,77,66,No Holiday
6/15/2006,Thursday,June,80,65,No Holiday
6/16/2006,Friday,June,85,63,No Holiday
6/17/2006,Saturday,June,83,69,No Holiday
6/18/2006,Sunday,June,91,71,No Holiday
6/19/2006,Monday,June,88,74,No Holiday
6/20/2006,Tuesday,June,83,71,No Holiday
6/21/2006,Wednesday,June,83,69,No Holiday
6/22/2006,Thursday,June,87,69,No Holiday
6/23/2006,Friday,June,85,72,No Holiday
6/24/2006,Saturday,June,74,69,No Holiday
6/25/2006,Sunday,June,74,70,No Holiday
6/26/2006,Monday,June,75,70,No Holiday
6/27/2006,Tuesday,June,78,71,No Holiday
6/28/2006,Wednesday,June,84,70,No Holiday
6/29/2006,Thursday,June,83,65,No Holiday
6/30/2006,Friday,June,80,63,No Holiday
7/1/2006,Saturday,July,83,63,No Holiday
7/2/2006,Sunday,July,87,70,No Holiday
7/3/2006,Monday,July,87,72,No Holiday
7/4/2006,Tuesday,July,87,77,holiday
7/5/2006,Wednesday,July,79,68,No Holiday
7/6/2006,Thursday,July,77,61,No Holiday
7/7/2006,Friday,July,80,63,No Holiday
7/8/2006,Saturday,July,82,69,No Holiday
7/9/2006,Sunday,July,83,71,No Holiday
7/10/2006,Monday,July,82,67,No Holiday
7/11/2006,Tuesday,July,88,73,No Holiday
7/12/2006,Wednesday,July,84,72,No Holiday
7/13/2006,Thursday,July,83,71,No Holiday
7/14/2006,Friday,July,87,69,No Holiday
7/15/2006,Saturday,July,83,71,No Holiday
7/16/2006,Sunday,July,92,73,No Holiday
7/17/2006,Monday,July,95,77,No Holiday
7/18/2006,Tuesday,July,95,71,No Holiday
7/19/2006,Wednesday,July,86,71,No Holiday
7/20/2006,Thursday,July,81,71,No Holiday
7/21/2006,Friday,July,84,70,No Holiday
7/22/2006,Saturday,July,80,71,No Holiday
7/23/2006,Sunday,July,78,68,No Holiday
7/24/2006,Monday,July,85,66,No Holiday
7/25/2006,Tuesday,July,82,72,No Holiday
7/26/2006,Wednesday,July,85,71,No Holiday
7/27/2006,Thursday,July,88,74,No Holiday
7/28/2006,Friday,July,89,75,No Holiday
7/29/2006,Saturday,July,89,74,No Holiday
7/30/2006,Sunday,July,89,77,No Holiday
7/31/2006,Monday,July,90,74,No Holiday
8/1/2006,Tuesday,August,95,79,No Holiday
8/2/2006,Wednesday,August,97,83,No Holiday
8/3/2006,Thursday,August,96,78,No Holiday
8/4/2006,Friday,August,89,76,No Holiday
8/5/2006,Saturday,August,89,72,No Holiday
8/6/2006,Sunday,August,84,72,No Holiday
8/7/2006,Monday,August,87,75,No Holiday
8/8/2006,Tuesday,August,87,72,No Holiday
8/9/2006,Wednesday,August,84,67,No Holiday
8/10/2006,Thursday,August,84,67,No Holiday
8/11/2006,Friday,August,78,65,No Holiday
8/12/2006,Saturday,August,77,62,No Holiday
8/13/2006,Sunday,August,80,60,No Holiday
8/14/2006,Monday,August,85,66,No Holiday
8/15/2006,Tuesday,August,80,69,No Holiday
8/16/2006,Wednesday,August,85,67,No Holiday
8/17/2006,Thursday,August,86,69,No Holiday
8/18/2006,Friday,August,82,70,No Holiday
8/19/2006,Saturday,August,82,69,No Holiday
8/20/2006,Sunday,August,88,71,No Holiday
8/21/2006,Monday,August,86,69,No Holiday
8/22/2006,Tuesday,August,86,69,No Holiday
8/23/2006,Wednesday,August,88,68,No Holiday
8/24/2006,Thursday,August,83,66,No Holiday
8/25/2006,Friday,August,74,66,No Holiday
8/26/2006,Saturday,August,69,63,No Holiday
8/27/2006,Sunday,August,74,62,No Holiday
8/28/2006,Monday,August,77,70,No Holiday
8/29/2006,Tuesday,August,71,64,No Holiday
8/30/2006,Wednesday,August,73,62,No Holiday
8/31/2006,Thursday,August,72,61,No Holiday
9/1/2006,Friday,September,67,60,No Holiday
9/2/2006,Saturday,September,66,59,No Holiday
9/3/2006,Sunday,September,75,63,No Holiday
9/4/2006,Monday,September,75,60,holiday
9/5/2006,Tuesday,September,69,61,No Holiday
9/6/2006,Wednesday,September,75,60,No Holiday
9/7/2006,Thursday,September,80,61,No Holiday
9/8/2006,Friday,September,81,66,No Holiday
9/9/2006,Saturday,September,82,67,No Holiday
9/10/2006,Sunday,September,73,62,No Holiday
9/11/2006,Monday,September,70,56,No Holiday
9/12/2006,Tuesday,September,70,52,No Holiday
9/13/2006,Wednesday,September,67,56,No Holiday
9/14/2006,Thursday,September,67,64,No Holiday
9/15/2006,Friday,September,67,64,No Holiday
9/16/2006,Saturday,September,78,64,No Holiday
9/17/2006,Sunday,September,80,63,No Holiday
9/18/2006,Monday,September,83,65,No Holiday
9/19/2006,Tuesday,September,80,67,No Holiday
9/20/2006,Wednesday,September,71,58,No Holiday
9/21/2006,Thursday,September,68,52,No Holiday
9/22/2006,Friday,September,69,53,No Holiday
9/23/2006,Saturday,September,75,63,No Holiday
9/24/2006,Sunday,September,79,67,No Holiday
9/25/2006,Monday,September,72,62,No Holiday
9/26/2006,Tuesday,September,73,57,No Holiday
9/27/2006,Wednesday,September,73,56,No Holiday
9/28/2006,Thursday,September,75,62,No Holiday
9/29/2006,Friday,September,66,53,No Holiday
9/30/2006,Saturday,September,66,49,No Holiday
10/1/2006,Sunday,October,68,56,No Holiday
10/2/2006,Monday,October,68,53,No Holiday
10/3/2006,Tuesday,October,79,56,No Holiday
10/4/2006,Wednesday,October,78,64,No Holiday
10/5/2006,Thursday,October,66,52,No Holiday
10/6/2006,Friday,October,57,52,No Holiday
10/7/2006,Saturday,October,63,51,No Holiday
10/8/2006,Sunday,October,71,51,No Holiday
10/9/2006,Monday,October,78,55,holiday
10/10/2006,Tuesday,October,76,57,No Holiday
10/11/2006,Wednesday,October,63,59,No Holiday
10/12/2006,Thursday,October,68,50,No Holiday
10/13/2006,Friday,October,55,41,No Holiday
10/14/2006,Saturday,October,59,43,No Holiday
10/15/2006,Sunday,October,58,42,No Holiday
10/16/2006,Monday,October,61,43,No Holiday
10/17/2006,Tuesday,October,61,54,No Holiday
10/18/2006,Wednesday,October,72,61,No Holiday
10/19/2006,Thursday,October,68,57,No Holiday
10/20/2006,Friday,October,66,47,No Holiday
10/21/2006,Saturday,October,57,44,No Holiday
10/22/2006,Sunday,October,59,46,No Holiday
10/23/2006,Monday,October,55,44,No Holiday
10/24/2006,Tuesday,October,52,41,No Holiday
10/25/2006,Wednesday,October,55,42,No Holiday
10/26/2006,Thursday,October,50,40,No Holiday
10/27/2006,Friday,October,51,37,No Holiday
10/28/2006,Saturday,October,67,46,No Holiday
10/29/2006,Sunday,October,53,45,No Holiday
10/30/2006,Monday,October,60,44,No Holiday
10/31/2006,Tuesday,October,68,52,No Holiday
11/1/2006,Wednesday,November,69,57,No Holiday
11/2/2006,Thursday,November,60,43,No Holiday
11/3/2006,Friday,November,47,36,No Holiday
11/4/2006,Saturday,November,47,35,No Holiday
11/5/2006,Sunday,November,50,37,No Holiday
11/6/2006,Monday,November,56,41,No Holiday
11/7/2006,Tuesday,November,59,47,No Holiday
11/8/2006,Wednesday,November,59,56,No Holiday
11/9/2006,Thursday,November,68,56,No Holiday
11/10/2006,Friday,November,60,51,No Holiday
11/11/2006,Saturday,November,66,49,holiday
11/12/2006,Sunday,November,61,48,No Holiday
11/13/2006,Monday,November,61,52,No Holiday
11/14/2006,Tuesday,November,61,54,No Holiday
11/15/2006,Wednesday,November,63,56,No Holiday
11/16/2006,Thursday,November,69,59,No Holiday
11/17/2006,Friday,November,64,48,No Holiday
11/18/2006,Saturday,November,53,43,No Holiday
11/19/2006,Sunday,November,48,42,No Holiday
11/20/2006,Monday,November,45,38,No Holiday
11/21/2006,Tuesday,November,46,35,No Holiday
11/22/2006,Wednesday,November,46,38,No Holiday
11/23/2006,Thursday,November,44,40,holiday
11/24/2006,Friday,November,58,41,No Holiday
11/25/2006,Saturday,November,53,40,No Holiday
11/26/2006,Sunday,November,59,45,No Holiday
11/27/2006,Monday,November,64,47,No Holiday
11/28/2006,Tuesday,November,58,51,No Holiday
11/29/2006,Wednesday,November,59,50,No Holiday
11/30/2006,Thursday,November,69,58,No Holiday
12/1/2006,Friday,December,70,49,No Holiday
12/2/2006,Saturday,December,49,39,No Holiday
12/3/2006,Sunday,December,46,35,No Holiday
12/4/2006,Monday,December,41,31,No Holiday
12/5/2006,Tuesday,December,37,29,No Holiday
12/6/2006,Wednesday,December,49,31,No Holiday
12/7/2006,Thursday,December,53,26,No Holiday
12/8/2006,Friday,December,29,18,No Holiday
12/9/2006,Saturday,December,38,24,No Holiday
12/10/2006,Sunday,December,54,35,No Holiday
12/11/2006,Monday,December,57,45,No Holiday
12/12/2006,Tuesday,December,49,44,No Holiday
12/13/2006,Wednesday,December,55,49,No Holiday
12/14/2006,Thursday,December,57,46,No Holiday
12/15/2006,Friday,December,52,44,No Holiday
12/16/2006,Saturday,December,51,41,No Holiday
12/17/2006,Sunday,December,56,42,No Holiday
12/18/2006,Monday,December,59,44,No Holiday
12/19/2006,Tuesday,December,45,36,No Holiday
12/20/2006,Wednesday,December,45,34,No Holiday
12/21/2006,Thursday,December,54,38,No Holiday
12/22/2006,Friday,December,49,39,No Holiday
12/23/2006,Saturday,December,59,48,No Holiday
12/24/2006,Sunday,December,52,43,No Holiday
12/25/2006,Monday,December,45,39,holiday
12/26/2006,Tuesday,December,53,43,No Holiday
12/27/2006,Wednesday,December,43,38,No Holiday
12/28/2006,Thursday,December,48,36,No Holiday
12/29/2006,Friday,December,48,37,No Holiday
12/30/2006,Saturday,December,47,34,No Holiday
12/31/2006,Sunday,December,45,33,No Holiday
1/1/2007,Monday,January ,56,45,holiday
1/2/2007,Tuesday,January ,50,41,No Holiday
1/3/2007,Wednesday,January ,52,38,No Holiday
1/4/2007,Thursday,January ,56,43,No Holiday
1/5/2007,Friday,January ,62,53,No Holiday
1/6/2007,Saturday,January ,72,54,No Holiday
1/7/2007,Sunday,January ,54,44,No Holiday
1/8/2007,Monday,January ,56,38,No Holiday
1/9/2007,Tuesday,January ,44,34,No Holiday
1/10/2007,Wednesday,January ,36,29,No Holiday
1/11/2007,Thursday,January ,38,26,No Holiday
1/12/2007,Friday,January ,48,37,No Holiday
1/13/2007,Saturday,January ,56,45,No Holiday
1/14/2007,Sunday,January ,46,41,No Holiday
1/15/2007,Monday,January ,57,40,holiday
1/16/2007,Tuesday,January ,55,22,No Holiday
1/17/2007,Wednesday,January ,29,19,No Holiday
1/18/2007,Thursday,January ,37,25,No Holiday
1/19/2007,Friday,January ,41,31,No Holiday
1/20/2007,Saturday,January ,32,21,No Holiday
1/21/2007,Sunday,January ,29,19,No Holiday
1/22/2007,Monday,January ,33,27,No Holiday
1/23/2007,Tuesday,January ,36,28,No Holiday
1/24/2007,Wednesday,January ,40,32,No Holiday
1/25/2007,Thursday,January ,34,15,No Holiday
1/26/2007,Friday,January ,22,9,No Holiday
1/27/2007,Saturday,January ,41,20,No Holiday
1/28/2007,Sunday,January ,41,30,No Holiday
1/29/2007,Monday,January ,30,21,No Holiday
1/30/2007,Tuesday,January ,35,21,No Holiday
1/31/2007,Wednesday,January ,33,25,No Holiday
2/1/2007,Thursday,February,34,26,No Holiday
2/2/2007,Friday,February,38,32,No Holiday
2/3/2007,Saturday,February,35,23,No Holiday
2/4/2007,Sunday,February,28,17,No Holiday
2/5/2007,Monday,February,18,8,No Holiday
2/6/2007,Tuesday,February,25,11,No Holiday
2/7/2007,Wednesday,February,25,12,No Holiday
2/8/2007,Thursday,February,28,14,No Holiday
2/9/2007,Friday,February,32,18,No Holiday
2/10/2007,Saturday,February,33,23,No Holiday
2/11/2007,Sunday,February,33,19,No Holiday
2/12/2007,Monday,February,40,28,No Holiday
2/13/2007,Tuesday,February,32,22,No Holiday
2/14/2007,Wednesday,February,29,16,No Holiday
2/15/2007,Thursday,February,24,15,No Holiday
2/16/2007,Friday,February,29,14,No Holiday
2/17/2007,Saturday,February,35,19,No Holiday
2/18/2007,Sunday,February,34,18,No Holiday
2/19/2007,Monday,February,30,12,holiday
2/20/2007,Tuesday,February,47,29,No Holiday
2/21/2007,Wednesday,February,49,39,No Holiday
2/22/2007,Thursday,February,45,36,No Holiday
2/23/2007,Friday,February,39,22,No Holiday
2/24/2007,Saturday,February,42,20,No Holiday
2/25/2007,Sunday,February,37,24,No Holiday
2/26/2007,Monday,February,36,30,No Holiday
2/27/2007,Tuesday,February,43,34,No Holiday
2/28/2007,Wednesday,February,46,35,No Holiday
3/1/2007,Thursday,March,46,33,No Holiday
3/2/2007,Friday,March,58,35,No Holiday
3/3/2007,Saturday,March,59,40,No Holiday
3/4/2007,Sunday,March,40,33,No Holiday
3/5/2007,Monday,March,41,21,No Holiday
3/6/2007,Tuesday,March,21,11,No Holiday
3/7/2007,Wednesday,March,23,12,No Holiday
3/8/2007,Thursday,March,34,18,No Holiday
3/9/2007,Friday,March,35,13,No Holiday
3/10/2007,Saturday,March,57,32,No Holiday
3/11/2007,Sunday,March,50,38,No Holiday
3/12/2007,Monday,March,57,36,No Holiday
3/13/2007,Tuesday,March,57,43,No Holiday
3/14/2007,Wednesday,March,70,46,No Holiday
3/15/2007,Thursday,March,67,36,No Holiday
3/16/2007,Friday,March,36,26,No Holiday
3/17/2007,Saturday,March,38,25,No Holiday
3/18/2007,Sunday,March,39,27,No Holiday
3/19/2007,Monday,March,43,30,No Holiday
3/20/2007,Tuesday,March,50,33,No Holiday
3/21/2007,Wednesday,March,40,26,No Holiday
3/22/2007,Thursday,March,67,40,No Holiday
3/23/2007,Friday,March,61,51,No Holiday
3/24/2007,Saturday,March,54,42,No Holiday
3/25/2007,Sunday,March,54,38,No Holiday
3/26/2007,Monday,March,54,39,No Holiday
3/27/2007,Tuesday,March,78,50,No Holiday
3/28/2007,Wednesday,March,65,45,No Holiday
3/29/2007,Thursday,March,57,38,No Holiday
3/30/2007,Friday,March,68,39,No Holiday
3/31/2007,Saturday,March,60,43,No Holiday
4/1/2007,Sunday,April,50,42,No Holiday
4/2/2007,Monday,April,56,42,No Holiday
4/3/2007,Tuesday,April,63,42,No Holiday
4/4/2007,Wednesday,April,42,40,No Holiday
4/5/2007,Thursday,April,44,34,No Holiday
4/6/2007,Friday,April,42,31,No Holiday
4/7/2007,Saturday,April,43,31,No Holiday
4/8/2007,Sunday,April,41,30,No Holiday
4/9/2007,Monday,April,49,32,No Holiday
4/10/2007,Tuesday,April,51,33,No Holiday
4/11/2007,Wednesday,April,50,36,No Holiday
4/12/2007,Thursday,April,44,39,No Holiday
4/13/2007,Friday,April,49,42,No Holiday
4/14/2007,Saturday,April,56,40,No Holiday
4/15/2007,Sunday,April,55,40,No Holiday
4/16/2007,Monday,April,48,38,No Holiday
4/17/2007,Tuesday,April,51,42,No Holiday
4/18/2007,Wednesday,April,51,42,No Holiday
4/19/2007,Thursday,April,61,45,No Holiday
4/20/2007,Friday,April,71,44,No Holiday
4/21/2007,Saturday,April,79,45,No Holiday
4/22/2007,Sunday,April,78,55,No Holiday
4/23/2007,Monday,April,86,58,No Holiday
4/24/2007,Tuesday,April,76,58,No Holiday
4/25/2007,Wednesday,April,67,47,No Holiday
4/26/2007,Thursday,April,61,46,No Holiday
4/27/2007,Friday,April,56,47,No Holiday
4/28/2007,Saturday,April,71,54,No Holiday
4/29/2007,Sunday,April,67,55,No Holiday
4/30/2007,Monday,April,80,52,No Holiday
5/1/2007,Tuesday,May,71,51,No Holiday
5/2/2007,Wednesday,May,68,50,No Holiday
5/3/2007,Thursday,May,72,51,No Holiday
5/4/2007,Friday,May,71,50,No Holiday
5/5/2007,Saturday,May,73,51,No Holiday
5/6/2007,Sunday,May,63,46,No Holiday
5/7/2007,Monday,May,67,44,No Holiday
5/8/2007,Tuesday,May,72,47,No Holiday
5/9/2007,Wednesday,May,83,57,No Holiday
5/10/2007,Thursday,May,77,61,No Holiday
5/11/2007,Friday,May,77,60,No Holiday
5/12/2007,Saturday,May,74,53,No Holiday
5/13/2007,Sunday,May,68,49,No Holiday
5/14/2007,Monday,May,70,49,No Holiday
5/15/2007,Tuesday,May,84,56,No Holiday
5/16/2007,Wednesday,May,85,59,No Holiday
5/17/2007,Thursday,May,69,54,No Holiday
5/18/2007,Friday,May,54,48,No Holiday
5/19/2007,Saturday,May,57,50,No Holiday
5/20/2007,Sunday,May,75,51,No Holiday
5/21/2007,Monday,May,71,53,No Holiday
5/22/2007,Tuesday,May,76,53,No Holiday
5/23/2007,Wednesday,May,74,55,No Holiday
5/24/2007,Thursday,May,84,58,No Holiday
5/25/2007,Friday,May,90,64,No Holiday
5/26/2007,Saturday,May,85,71,No Holiday
5/27/2007,Sunday,May,86,66,No Holiday
5/28/2007,Monday,May,83,67,holiday
5/29/2007,Tuesday,May,80,61,No Holiday
5/30/2007,Wednesday,May,84,61,No Holiday
5/31/2007,Thursday,May,91,64,No Holiday
6/1/2007,Friday,June,88,64,No Holiday
6/2/2007,Saturday,June,89,71,No Holiday
6/3/2007,Sunday,June,79,63,No Holiday
6/4/2007,Monday,June,70,60,No Holiday
6/5/2007,Tuesday,June,81,66,No Holiday
6/6/2007,Wednesday,June,71,56,No Holiday
6/7/2007,Thursday,June,75,54,No Holiday
6/8/2007,Friday,June,85,64,No Holiday
6/9/2007,Saturday,June,82,65,No Holiday
6/10/2007,Sunday,June,72,62,No Holiday
6/11/2007,Monday,June,84,63,No Holiday
6/12/2007,Tuesday,June,83,65,No Holiday
6/13/2007,Wednesday,June,66,57,No Holiday
6/14/2007,Thursday,June,64,56,No Holiday
6/15/2007,Friday,June,74,59,No Holiday
6/16/2007,Saturday,June,81,60,No Holiday
6/17/2007,Sunday,June,86,66,No Holiday
6/18/2007,Monday,June,84,68,No Holiday
6/19/2007,Tuesday,June,80,66,No Holiday
6/20/2007,Wednesday,June,78,67,No Holiday
6/21/2007,Thursday,June,80,60,No Holiday
6/22/2007,Friday,June,74,61,No Holiday
6/23/2007,Saturday,June,74,56,No Holiday
6/24/2007,Sunday,June,81,57,No Holiday
6/25/2007,Monday,June,80,67,No Holiday
6/26/2007,Tuesday,June,91,72,No Holiday
6/27/2007,Wednesday,June,90,70,No Holiday
6/28/2007,Thursday,June,87,70,No Holiday
6/29/2007,Friday,June,77,67,No Holiday
6/30/2007,Saturday,June,81,63,No Holiday
7/1/2007,Sunday,July,74,61,No Holiday
7/2/2007,Monday,July,74,57,No Holiday
7/3/2007,Tuesday,July,80,60,No Holiday
7/4/2007,Wednesday,July,71,65,holiday
7/5/2007,Thursday,July,78,67,No Holiday
7/6/2007,Friday,July,83,67,No Holiday
7/7/2007,Saturday,July,85,67,No Holiday
7/8/2007,Sunday,July,89,71,No Holiday
7/9/2007,Monday,July,92,76,No Holiday
7/10/2007,Tuesday,July,92,74,No Holiday
7/11/2007,Wednesday,July,85,70,No Holiday
7/12/2007,Thursday,July,80,66,No Holiday
7/13/2007,Friday,July,81,69,No Holiday
7/14/2007,Saturday,July,84,66,No Holiday
7/15/2007,Sunday,July,88,72,No Holiday
7/16/2007,Monday,July,82,71,No Holiday
7/17/2007,Tuesday,July,88,69,No Holiday
7/18/2007,Wednesday,July,78,69,No Holiday
7/19/2007,Thursday,July,83,70,No Holiday
7/20/2007,Friday,July,78,67,No Holiday
7/21/2007,Saturday,July,82,63,No Holiday
7/22/2007,Sunday,July,83,68,No Holiday
7/23/2007,Monday,July,72,60,No Holiday
7/24/2007,Tuesday,July,81,58,No Holiday
7/25/2007,Wednesday,July,83,67,No Holiday
7/26/2007,Thursday,July,85,71,No Holiday
7/27/2007,Friday,July,84,71,No Holiday
7/28/2007,Saturday,July,84,71,No Holiday
7/29/2007,Sunday,July,80,72,No Holiday
7/30/2007,Monday,July,86,70,No Holiday
7/31/2007,Tuesday,July,87,72,No Holiday
8/1/2007,Wednesday,August,90,71,No Holiday
8/2/2007,Thursday,August,92,75,No Holiday
8/3/2007,Friday,August,90,66,No Holiday
8/4/2007,Saturday,August,89,69,No Holiday
